direction,time,plate,make,model,color
North,2020-05-20T11:40:09Z,HZV-3902,Honda,CR-V,Silver
North,2020-05-20T11:40:11Z,SND-0316,Honda,Avalanche,White
North,2020-05-20T11:40:21Z,YOI-0394,Cadillac,Escalade,White
North,2020-05-20T11:40:36Z,BNL-0769,Volkswagen,Golf,White
North,2020-05-20T11:40:38Z,UHS-4398,Infiniti,QX50,Silver
North,2020-05-20T11:40:52Z,AKS-8937,Nissan,Altima,White
North,2020-05-20T11:41:00Z,JNV-9210,Honda,S-3000,Silver
North,2020-05-20T11:41:26Z,JPU-1646,Honda,CR-V,Grey
North,2020-05-20T11:41:34Z,ZQI-0589,Porsche,Panamera,Black
North,2020-05-20T11:41:52Z,HSH-0068,BMW,5-Series,Black
North,2020-05-20T11:42:18Z,PYD-7210,Toyota,Venza,Silver
North,2020-05-20T11:42:49Z,TGX-1889,Subaru,Legacy,White
North,2020-05-20T11:42:54Z,EUT-8962,Kia,Sorento,Silver
North,2020-05-20T11:43:10Z,NTC-4379,Honda,Accord,Blue
North,2020-05-20T11:43:11Z,RCZ-9522,Saturn,Sky,Black
North,2020-05-20T11:43:19Z,NIU-6948,Hyundai,Genesis,Black
North,2020-05-20T11:43:25Z,OLY-6969,Cadillac,SRX,Silver
North,2020-05-20T11:43:37Z,CRJ-8823,Toyota,Matrix,Grey
North,2020-05-20T11:43:39Z,SSP-1915,Dodge,Dart,Silver
North,2020-05-20T11:43:43Z,MTR-3663,Honda,Avalanche,White
North,2020-05-20T11:43:47Z,MJF-5679,Jaguar,F-Pace,White
North,2020-05-20T11:43:58Z,DDH-0580,Mitsubishi,Mirage,Silver
North,2020-05-20T11:44:08Z,XOG-2980,Toyota,Yaris,Black
North,2020-05-20T11:44:22Z,NAQ-0956,Mazda,CX-3,Black
North,2020-05-20T11:44:27Z,ZHT-8768,Nissan,Sentra,Grey
North,2020-05-20T11:44:29Z,TRM-4362,Mercedes,GLK-Class,Black
North,2020-05-20T11:44:40Z,PHL-2899,Ford,Fusion,Blue
North,2020-05-20T11:44:57Z,QXW-6918,Ford,F-150,Red
North,2020-05-20T11:45:06Z,BTJ-4874,Ford,Transit,White
North,2020-05-20T11:45:10Z,MNB-1080,Mazda,CX-3,Black
North,2020-05-20T11:45:27Z,WSM-0843,Toyota,Rav-4,Grey
North,2020-05-20T11:45:45Z,UXV-6468,Toyota,Avalon,Blue
North,2020-05-20T11:45:48Z,IVW-1022,Toyota,4Runner,Silver
North,2020-05-20T11:45:50Z,WIM-2904,Infiniti,G35,Black
North,2020-05-20T11:45:58Z,LWD-5124,Toyota,Land Cruiser,Green
North,2020-05-20T11:46:27Z,EUG-9993,Dodge,Ram,White
North,2020-05-20T11:46:29Z,NUC-7477,Chevy,Cruze,Black
North,2020-05-20T11:46:45Z,UBY-5609,Ford,E-250,White
North,2020-05-20T11:47:00Z,RCP-2719,Nissan,Versa,Blue
North,2020-05-20T11:47:10Z,JSR-5064,Ford,E-250,White
North,2020-05-20T11:47:16Z,KNA-4236,Lincoln,Towncar,Beige
North,2020-05-20T11:47:25Z,ZJT-9505,Toyota,Tacoma,Black
North,2020-05-20T11:47:27Z,KVC-9815,Honda,Ridgeline,Black
North,2020-05-20T11:47:31Z,ADL-5594,Chevy,Tahoe,Black
North,2020-05-20T11:47:33Z,JCG-7265,Ford,E-250,White
North,2020-05-20T11:48:02Z,XNF-7105,Chevy,Colorado,Black
North,2020-05-20T11:48:12Z,RVB-0562,Buick,Verano,Grey
North,2020-05-20T11:48:26Z,AAD-5620,Nissan,Altima,Red
North,2020-05-20T11:48:35Z,XWE-6226,Nissan,Kicks,Silver
North,2020-05-20T11:48:45Z,GHX-0707,Ford,F-450,White
North,2020-05-20T11:48:47Z,YNQ-1058,Mitsubishi,Outlander,Beige
North,2020-05-20T11:48:51Z,CYN-1715,Honda,CR-V,Red
North,2020-05-20T11:49:07Z,YYO-3569,Dodge,Ram,White
North,2020-05-20T11:49:08Z,BNO-4088,Honda,Avalanche,White
North,2020-05-20T11:49:26Z,UAE-5563,Nissan,Kicks,Silver
North,2020-05-20T11:49:29Z,NYV-9744,Jeep,Gladiator,Green
North,2020-05-20T11:49:48Z,SXD-3021,Volkswagen,Eos,Red
North,2020-05-20T11:49:57Z,SDK-9358,GMC,Yukon,Black
North,2020-05-20T11:50:14Z,HXI-0625,Ford,Focus,Blue
North,2020-05-20T11:50:18Z,ZIZ-8340,Chevy,Trailblazer,Beige
North,2020-05-20T11:50:29Z,RYK-5548,Porsche,911,Silver
North,2020-05-20T11:50:31Z,EBS-0463,Chevy,Tahoe,Red
North,2020-05-20T11:50:45Z,PZF-7570,Porsche,911,Silver
North,2020-05-20T11:50:51Z,ILU-9600,Acura,TL,Grey
North,2020-05-20T11:50:57Z,LCG-1371,Tesla,Model 3,Grey
North,2020-05-20T11:51:12Z,ZUL-1764,Mazda,3,Grey
North,2020-05-20T11:51:14Z,JZN-4731,Mercedes,GLK-Class,Black
North,2020-05-20T11:51:19Z,PBH-2989,BMW,5-Series,Black
North,2020-05-20T11:51:32Z,FGJ-8058,Lexus,SC,White
North,2020-05-20T11:51:36Z,KTD-5264,Jaguar,F-Pace,Grey
North,2020-05-20T11:51:53Z,AIT-3116,Lexus,CT,White
North,2020-05-20T11:52:24Z,CON-8381,GMC,Yukon,Black
North,2020-05-20T11:52:44Z,KFC-6897,Chevy,Equinox,Silver
North,2020-05-20T11:52:46Z,LCF-8241,Lincoln,Navigator,Black
North,2020-05-20T11:53:01Z,SMW-1684,Ford,Transit,White
North,2020-05-20T11:53:08Z,OFM-1550,Honda,C-HR,White
North,2020-05-20T11:53:11Z,RDK-4330,Chevy,Malibu,Grey
North,2020-05-20T11:53:22Z,WRD-3945,Ford,F-150,Black
North,2020-05-20T11:53:40Z,TRA-5874,Jeep,Grand Cherokee,White
North,2020-05-20T11:53:56Z,GSZ-9592,Honda,Accord,Grey
North,2020-05-20T11:54:13Z,BVQ-1297,Mercedes,GE-Class,Black
North,2020-05-20T11:54:31Z,JTW-7738,Infiniti,G37,White
North,2020-05-20T11:54:34Z,OOG-8779,Dodge,Ram,Black
North,2020-05-20T11:54:40Z,UPH-3714,Mazda,CX-9,White
North,2020-05-20T11:54:53Z,KBU-5462,Buick,Enclave,Beige
North,2020-05-20T11:55:05Z,JXP-3893,Toyota,Camry,White
North,2020-05-20T11:55:21Z,DVV-3536,Kia,Sorento,Grey
North,2020-05-20T11:55:40Z,YKW-4184,Dodge,Journey,White
North,2020-05-20T11:56:06Z,ORG-8627,Infiniti,QX50,Silver
North,2020-05-20T11:56:08Z,VVR-7086,Subaru,Outback,Blue
North,2020-05-20T11:56:20Z,EQN-8649,Mercedes,E-Series,White
North,2020-05-20T11:56:29Z,WKX-9913,Audi,Q5,Grey
North,2020-05-20T11:56:42Z,UPO-0210,Dodge,Ram,Black
North,2020-05-20T11:56:49Z,VDE-9734,Cadillac,SRX,White
North,2020-05-20T11:57:15Z,OBX-9759,Mercedes,GLK-Class,Silver
North,2020-05-20T11:57:24Z,TBV-7814,Ford,F-250,Red
North,2020-05-20T11:57:26Z,KSM-3189,Honda,Odyssey,Grey
North,2020-05-20T11:57:31Z,QTO-6508,Nissan,Maxima,Silver
North,2020-05-20T11:57:34Z,SZC-8469,Subaru,Forester,Grey
North,2020-05-20T11:57:48Z,YXT-9560,Cadillac,SRX,White
North,2020-05-20T11:57:57Z,SLY-0243,Hyundai,Tucson,Grey
North,2020-05-20T11:57:59Z,UST-5036,Toyota,Corolla,Black
North,2020-05-20T11:58:02Z,CUR-6658,GMC,Safari,White
North,2020-05-20T11:58:13Z,ZQH-9975,Honda,HR-V,Blue
North,2020-05-20T11:58:15Z,WWE-0698,Toyota,Camry,Black
North,2020-05-20T11:58:18Z,FOM-9403,Chrysler,200,Silver
North,2020-05-20T11:58:24Z,EYP-1100,Toyota,Avalon,Silver
North,2020-05-20T11:58:43Z,FCW-7245,Nissan,Titan,Blue
North,2020-05-20T11:58:45Z,IFI-4395,Saab,93,Black
North,2020-05-20T11:59:18Z,TXJ-8634,Porsche,Panamera,Black
North,2020-05-20T11:59:21Z,VBV-6905,Mercedes,C-Series,Black
North,2020-05-20T11:59:32Z,DRW-6805,Hyundai,Tucson,Grey
North,2020-05-20T11:59:41Z,DVK-5400,Kia,Stinger,Red
North,2020-05-20T11:59:47Z,TQQ-2271,Mazda,3,Grey
North,2020-05-20T12:00:47Z,VRC-1512,BMW,4-Series,White
North,2020-05-20T12:01:17Z,MIX-8565,Ford,Edge,White
North,2020-05-20T12:01:22Z,HRB-5582,Hyundai,Genesis,Black
North,2020-05-20T12:01:33Z,LLX-4894,Toyota,Rav-4,Grey
North,2020-05-20T12:02:01Z,TVY-9943,Fiat,500,Grey
North,2020-05-20T12:02:22Z,URD-4922,Jeep,Gladiator,Green
North,2020-05-20T12:02:33Z,UAM-0905,Volvo,XC60,Black
North,2020-05-20T12:02:44Z,DHE-9193,Ford,E-250,White
North,2020-05-20T12:02:45Z,CZX-3036,Volkswagen,Beetle,Red
North,2020-05-20T12:02:50Z,SXP-9111,Mercedes,C-Series,Black
North,2020-05-20T12:03:05Z,IFP-9856,Honda,Accord,Grey
North,2020-05-20T12:03:18Z,EWG-8168,Volkswagen,Jetta,Red
North,2020-05-20T12:03:29Z,RMT-0264,Ford,Expedition,Black
North,2020-05-20T12:03:34Z,LJH-2197,Chevy,Cavalier,Silver
North,2020-05-20T12:03:49Z,KWX-8289,Ford,Escape,Black
North,2020-05-20T12:04:04Z,VQA-5950,Honda,CR-V,Grey
North,2020-05-20T12:04:24Z,DWG-7842,Nissan,Murano,Black
North,2020-05-20T12:04:35Z,EOJ-7567,Jeep,Gladiator,Green
North,2020-05-20T12:04:39Z,TEF-9466,Honda,Civic,Red
North,2020-05-20T12:04:42Z,FEG-6015,Jeep,Wrangler,Black
North,2020-05-20T12:04:48Z,AWX-6021,Honda,Odyssey,Black
North,2020-05-20T12:04:49Z,RIF-3377,Toyota,Sienna,Grey
North,2020-05-20T12:04:59Z,UDU-5438,Volkswagen,Beetle,Red
North,2020-05-20T12:05:04Z,WSR-8292,Toyota,Rav-4,Grey
North,2020-05-20T12:05:36Z,WWN-2999,Cadillac,SRX,White
North,2020-05-20T12:05:44Z,FRL-1395,Toyota,Tocoma,White
North,2020-05-20T12:05:45Z,PLJ-6217,Tesla,Model 3,Blue
North,2020-05-20T12:05:57Z,TOX-4748,Honda,Civic,Grey
North,2020-05-20T12:06:05Z,XYV-1572,Toyota,Camry,White
North,2020-05-20T12:06:07Z,NJR-3353,Honda,CR-V,Black
North,2020-05-20T12:06:09Z,KLH-3306,Lexus,SC,White
North,2020-05-20T12:06:39Z,PLC-6081,Toyota,Rav-4,White
North,2020-05-20T12:06:43Z,JSN-2410,Hyundai,Tucson,Grey
North,2020-05-20T12:06:51Z,GLR-1766,GMC,Denali,Black
North,2020-05-20T12:06:53Z,XHH-2841,Mazda,CX-5,Red
North,2020-05-20T12:07:05Z,WJI-6813,Chrysler,Town & Country,Red
North,2020-05-20T12:07:08Z,PVV-1560,Lincoln,Navigator,Black
North,2020-05-20T12:08:01Z,WAY-4517,Lincoln,Navigator,Black
North,2020-05-20T12:08:02Z,RUV-9627,Honda,Fit,Blue
North,2020-05-20T12:08:43Z,RLB-1021,Nissan,350Z,Silver
North,2020-05-20T12:08:58Z,WRS-2068,Lexus,RX,Silver
North,2020-05-20T12:09:15Z,LQC-8369,Mazda,Tribute,Beige
North,2020-05-20T12:09:19Z,MVZ-2821,Nissan,Maxima,Beige
North,2020-05-20T12:09:39Z,NQW-7177,Mazda,6,Grey
North,2020-05-20T12:10:02Z,WIC-7701,Lexus,ES,White
North,2020-05-20T12:10:06Z,KJH-5941,Hyundai,Elantra,Blue
North,2020-05-20T12:10:07Z,HGY-6752,Porsche,Macon,Black
North,2020-05-20T12:10:18Z,JXM-8579,Hyundai,Tucson,Blue
North,2020-05-20T12:10:27Z,KNA-6301,Kia,Forte,Black
North,2020-05-20T12:10:29Z,VXM-7249,Subaru,Ascent,Blue
North,2020-05-20T12:10:32Z,GXF-3358,Fiat,500,Grey
North,2020-05-20T12:10:45Z,OAA-0124,BMW,X1,Black
North,2020-05-20T12:10:46Z,ZBY-4860,Jeep,Renegade,Silver
North,2020-05-20T12:11:01Z,KIQ-5659,Nissan,Maxima,Beige
North,2020-05-20T12:11:04Z,OQO-0285,Dodge,Journey,White
North,2020-05-20T12:11:10Z,EOH-7364,Chrysler,Town & Country,Red
North,2020-05-20T12:11:19Z,ZKM-6608,Chevy,Camaro,Red
North,2020-05-20T12:11:23Z,VZP-5183,Cadillac,SRX,White
North,2020-05-20T12:11:28Z,ZSB-2357,Toyota,Venza,Silver
North,2020-05-20T12:11:30Z,SOJ-5827,Nissan,Maxima,Beige
North,2020-05-20T12:11:32Z,BPG-4956,Nissan,Versa,Blue
North,2020-05-20T12:11:45Z,LAZ-2522,Mazda,CX-5,Red
North,2020-05-20T12:11:48Z,MVH-8956,Jaguar,F-Pace,Grey
North,2020-05-20T12:12:23Z,IDR-0217,Lexus,LX,White
North,2020-05-20T12:12:25Z,UXV-1528,Volkswagen,Jetta,Blue
North,2020-05-20T12:12:29Z,QPA-8993,GMC,Denali,Black
North,2020-05-20T12:12:48Z,RGU-7664,BMW,3-Series,White
North,2020-05-20T12:12:57Z,KBY-5644,Honda,Accord,Grey
North,2020-05-20T12:12:59Z,ZIY-5498,Nissan,Maxima,Silver
North,2020-05-20T12:13:06Z,BEO-2122,Toyota,Corolla,Black
North,2020-05-20T12:13:33Z,RHV-1833,Mazda,CX-9,White
North,2020-05-20T12:13:37Z,LYG-7121,Chevy,Traverse,Silver
North,2020-05-20T12:13:39Z,HEN-4240,Chevy,Tahoe,Grey
North,2020-05-20T12:13:52Z,JBJ-2513,Ford,F-150,Black
North,2020-05-20T12:13:58Z,ZPU-0978,Ford,E-250,White
North,2020-05-20T12:14:06Z,ZWC-0950,Chrysler,200,Silver
North,2020-05-20T12:14:11Z,SKW-8235,Subaru,Forester,Green
North,2020-05-20T12:14:30Z,YBV-7953,Ford,Police Interceptor,Black
North,2020-05-20T12:14:39Z,CHV-9229,Volkswagen,Beetle,Red
North,2020-05-20T12:14:49Z,MKA-1661,Ford,F-150,Red
North,2020-05-20T12:14:53Z,DNG-1346,Mercedes,S-Series,Black
North,2020-05-20T12:14:55Z,OHN-5950,Nissan,Murano,Black
North,2020-05-20T12:15:04Z,WCC-6569,Porsche,Panamera,Black
North,2020-05-20T12:15:13Z,WAB-9795,Chevy,Tahoe,Red
North,2020-05-20T12:15:22Z,BYL-5475,Volvo,VNL 670,Red
North,2020-05-20T12:15:30Z,FAC-9369,Infiniti,QX60,Grey
North,2020-05-20T12:15:41Z,YAO-6969,Ford,F-250,Blue
